Sec,RPM
0.6,36.3
1.2,3069.5
1.8,2027.5
2.4,3157.6
3,3157.6
3.6,0
4.2,0
4.8,0
5.4,0
6,0
6.6,0
7.8,3152.5
8.4,695.9
9.6,3149.5
10.2,2803.6
10.8,1954.7
11.4,2016.3
12,189.9
12.6,189.9
13.2,0
13.8,0
14.4,0
15,0
15.6,0
17.4,1654.2
18,3151.4
18.6,448.6
20.4,3096.7
21,3152.2
21.6,1551.1
22.2,30.4
22.8,3062.6
23.4,2648.5
24,1532
24.6,2845.8
25.8,0
26.4,0
27,0
27.6,0
28.2,0
28.8,0
29.4,0
30,0
30.6,0
31.2,0
31.8,732.9
33.6,3022.6
34.2,1699.6
34.8,2688.9
36.6,3122.4
37.2,1793.7
37.8,2894.4
39.6,0
40.2,0
40.8,0
41.4,0
42,0
42.6,0
43.2,3121.9
43.8,3121.9
44.4,1750.9
45,1750.9
46.8,694.6
47.4,0
48,0
48.6,0
49.2,0
49.8,0
50.4,0
51.6,0
52.2,928.6
52.8,928.6
55.2,3147.6
55.8,3147.6
56.4,2376.7
57,1961.6
58.2,0
60,0
60.6,0
61.2,0
61.8,0
62.4,0
63.6,0
64.2,43.2
64.8,3081.5
65.4,465.7
66.6,2965.1
67.8,0
68.4,0
69,0
70.2,0
70.8,0
71.4,1974.2
73.2,248.1
75.6,607.9
76.8,42.5
77.4,3081.3
78,3081.3
78.6,3080.4
79.2,1773
79.8,0
80.4,0
81,0
81.6,0
82.2,0
82.8,0
83.4,2595.2
84,2595.2
84.6,3
85.2,2948.2
85.8,2948.2
86.4,2133
87,1844.6
87.6,1844.6
88.2,3111.5
88.8,2732.6
89.4,2860.8
90.6,359.6
91.2,0
91.8,0
92.4,0
93,0
93.6,0
94.2,0
94.8,0
95.4,0
96,0
96.6,0
97.2,0
98.4,0
99,0
99.6,0
100.2,0
101.4,0
102,0
102.6,0
103.2,0
103.8,0
104.4,0
105,0
105.6,0
106.2,0
106.8,0
107.4,0
108,1661.7
108.6,1661.7
109.2,3.1
109.8,0
111,0
111.6,0
112.2,0
113.4,0
115.2,1789.4
115.8,2428
116.4,2428
118.2,3151.9
118.8,2624.4
119.4,0
120.6,0
121.2,0
121.8,0
122.4,3123.3
123,3123.3
124.8,0
125.4,0
126,0
126.6,0
127.2,0
127.8,0
128.4,0
129,2595
129.6,3151.6
130.2,2753.9
132,2709.3
132.6,3151.2
133.2,3151.2
133.8,580.8
134.4,3153.5
135,3008.5
136.2,2256.6
136.8,33.3
137.4,33.3
138.6,0
139.2,0
139.8,0
140.4,0
141.6,0
142.2,0
143.4,0
144,0
144.6,0
145.2,2936.1
146.4,0
147,0
148.2,0
148.8,0
149.4,0
150,0
150.6,2893.6
151.2,755.5
152.4,3051.3
154.8,2457.9
155.4,3151.8
156,3151.8
156.6,2005.9
157.2,0
157.8,0
158.4,0
159,0
159.6,0
160.2,0
160.8,0
161.4,0
162.6,3152.4
163.2,3150.6
163.8,1712.9
165,837.2
165.6,3152.9
167.4,3151.7
168,2264.7
168.6,1628.8
169.2,2008.6
169.8,416.3
170.4,416.3
171,0
171.6,0
172.2,0
172.8,0
173.4,0
174,0
174.6,0
175.2,0
175.8,0
176.4,0
177,0
177.6,0
178.2,0
178.8,0
179.4,0
180,0
180.6,3122.6
181.2,2623
181.8,0
182.4,0
183,0
183.6,0
184.2,0
184.8,0
185.4,0
186,0
186.6,0
187.2,0
187.8,0
188.4,3105.4
189,3072.1
189.6,67.8
190.2,3062.6
193.8,23.1
194.4,2721.8
195,2641.1
195.6,905.9
196.8,0
197.4,0
198.6,0
199.2,0
199.8,1726.5
200.4,2808.2
201.6,2054.8
202.2,2054.8
202.8,3122.3
203.4,3122.3
204,220.7
204.6,3160
205.2,3160
205.8,2572.6
206.4,2572.6
207.6,0
208.2,0
210.6,0
211.2,0
211.8,0
212.4,0
213.6,0
214.8,0
215.4,0
216,0
217.2,0
217.8,0
218.4,0
219,0
220.2,1686.1
220.8,3104.6
221.4,49.9
222,0
222.6,0
223.2,0
223.8,0
224.4,0
225,0
225.6,0
226.2,892
226.8,2935.9
227.4,1874.5
228,2276.7
228.6,963
229.2,3069.8
229.8,29.9
230.4,2954
231,1758.7
231.6,1969.5
232.2,243.9
232.8,0
233.4,0
234,0
234.6,0
235.2,0
235.8,192.2
236.4,3056.3
237,3152
238.8,1924.7
239.4,969.4
240,2527.9
240.6,2527.9
241.8,2762.5
242.4,3048.6
243,1830.6
243.6,1830.6
245.4,0
246.6,0
247.2,0
247.8,0
248.4,0
249,0
249.6,0
250.2,0
251.4,0
252,0
252.6,0
253.2,0
253.8,0
254.4,0
255,0
256.2,0
256.8,0
257.4,0
258,0
258.6,0
259.2,0
259.8,0
260.4,0
261,0
261.6,0
262.8,0
263.4,2728.4
264,2164.4
264.6,255.6
265.2,51.2
268.2,2092.8
268.8,2088
272.4,2.7
273,8.8
273.6,8.8
274.2,19.1
274.8,3.4
275.4,5.3
276,5.3
276.6,0
277.2,0
277.8,0
278.4,0
279,0
279.6,0
280.2,0
280.8,0
281.4,0
282,0
282.6,0
283.2,0
283.8,0
284.4,0
285,0
285.6,0
286.2,0
286.8,0
287.4,0
288.6,0
289.2,0
289.8,0
290.4,0
291,0
291.6,0
292.2,0
292.8,0
293.4,0
294,0
294.6,0
295.2,0
295.8,0
296.4,0
297,0
297.6,0
298.2,0
298.8,0
299.4,0
300,0
300.6,642.4
301.2,2025.9
303,0
303.6,0
304.2,0
304.8,0
305.4,0
306,0
306.6,0
307.2,0
307.8,267.1
308.4,3158.7
309,2164.8
309.6,418.3
310.2,3056.9
310.8,2924.8
311.4,3085.1
312,3085.1
312.6,0
313.2,0
313.8,0
314.4,0
315,0
315.6,3129.5
316.2,3151.7
316.8,1831.2
318,687.7
318.6,3153.7
319.2,2519.4
319.8,277.5
320.4,3160
321,2848.8
321.6,3058.9
322.2,620
322.8,0
324,0
324.6,0
325.2,0
325.8,0
327,0
327.6,471.8
328.2,3155.6
328.8,3152.4
329.4,1674.2
330,923.7
330.6,923.7
331.2,1656.3
333,48.7
333.6,3092.6
334.2,2881.6
334.8,2503.2
335.4,0
336,0
336.6,0
337.2,0
337.8,0
338.4,0
339,2049.7
339.6,2978.1
340.8,0
341.4,0
342,0
343.2,0
344.4,2941.8
345,2404.8
345.6,2478
346.8,3152.6
347.4,3152.6
348,2833.3
349.2,0
349.8,0
350.4,0
351,0
351.6,0
352.2,0
352.8,0
353.4,0
354,0
354.6,0
355.2,0
355.8,0
356.4,37.6
357,3082.6
357.6,3151.6
358.2,2476.7
358.8,0
359.4,0
360,0
360.6,0
361.2,0
361.8,0
362.4,282.6
363,3058.1
363.6,1948.3
364.8,2534.3
365.4,3152.1
366,2070.3
366.6,2273.7
367.2,0
367.8,0
368.4,0
369,0
369.6,0
370.8,3152.2
371.4,525
372,1827
372.6,3152.5
373.2,3152.2
373.8,1905.6
375.6,3181
376.2,2384.8
376.8,537.4
378,0
378.6,0
379.2,0
379.8,0
380.4,0
381,0
381.6,0
382.2,0
382.8,0
383.4,0
384,0
384.6,0
387,0
387.6,0
388.2,0
388.8,0
389.4,0
390,2366
390.6,3017.1
391.2,2518.2
391.8,1621.7
394.2,2814.7
394.8,2474.2
396.6,1673.6
397.2,2635.8
397.8,2893.3
398.4,805
399,0
399.6,0
400.2,0
400.8,0
401.4,0
402,2456.6
402.6,2492.6
403.2,822.8
403.8,3054.1
404.4,2454.5
405,3142.5
406.8,3122.7
407.4,2672.9
408,1512.9
408.6,0
409.2,0
409.8,0
410.4,0
411,0
411.6,0
412.2,0
412.8,0
413.4,0
414,0
414.6,0
415.2,0
415.8,0
416.4,2722
417,3152
417.6,3152
418.2,448.8
418.8,2157.7
419.4,2097.7
421.2,3122.3
421.8,2977.8
422.4,1943.6
423,0
423.6,0
424.2,0
424.8,0
426.6,3152
427.2,718.5
427.8,1737.9
428.4,3052
429,3152.5
432,2814.7
432.6,2990.2
433.8,0
434.4,0
435,0
436.2,0
436.8,0
437.4,0
438,0
438.6,0
439.2,2688.7
439.8,2097.6
440.4,430.8
441,1736.9
441.6,543.7
442.2,2593.9
442.8,1628.7
443.4,2277.7
445.2,154.2
445.8,1578.8
446.4,1578.8
447,3181.3
447.6,204
448.2,0
448.8,0
449.4,0
450,0
450.6,0
451.2,0
452.4,0
453,0
453.6,0
454.2,0
454.8,0
455.4,0
456,0
456.6,0
457.2,0
457.8,0
458.4,0
459,0
459.6,0
460.8,0
461.4,0
462,0
462.6,0
463.8,0
464.4,0
465,0
466.2,0
467.4,38.2
468,38.2
468.6,0
469.2,0
469.8,0
470.4,0
471,0
471.6,0
472.2,511.1
472.8,716.5
473.4,716.5
474.6,214.9
475.2,43.9
475.8,43.9
476.4,0
477,0
477.6,0
478.2,0
478.8,0
479.4,776.8
480,3151.5
480.6,3152.6
481.2,1949.3
482.4,269.4
483,3160.3
483.6,1568.1
486,2233.6
486.6,3151.7
487.2,1689.4
488.4,0
489,0
489.6,0
490.2,0
490.8,0
491.4,0
492,0
492.6,0
493.2,0
493.8,0
494.4,0
495,0
495.6,0
496.8,0
497.4,0
498,0
498.6,0
499.2,0
500.4,0
501,0
501.6,0
502.2,0
502.8,0
503.4,0
505.2,2678.6
505.8,2806.2
507.6,1753
508.2,3151.9
508.8,977.7
510.6,2475.2
511.2,2039.1
511.8,0
